word,pos,definition
tatak,,tatak n. 1. imprint; 2. stamp; seal; 3. trademark; 4. bookmark; 5. brand (animals)
tatak ng daliri,,tatak ng daliri n. fingerprint
tatak-daliri,,tatak-daliri n. fingerprint
tatak-kalakal,,tatak-kalakal n. trademark
tatak-koreo,,tatak-koreo n. postmark
tatak-pangkalakal,,tatak-pangkalakal n. trademark
tatakan,,"tatakan (tinatatakan, tinatakan, tatatakan) v., inf. 1. impress; stamp; 2. seal"
tatal,,n. wood chippings; wood shavings
tatang,,n. dad; daddy
tatangnan,,"tatangnan n. 1. handle; 2. (rifle) butt, or the like"
tatangu-tango,,"tatangu-tango adj., adv. with continuous nodding of the head"
tatapahin,,tatapahin adj. ref. to meat set aside for drying/jerking
tatas,,tatas n. fluency and clearness of speech
tatasiha,,n. triangle; trigon
tatatlo,,"tatatlo adj., n. only three"
tataw,,tataw n. doll; mannikin
tatay,,n. dad; daddy; papa
tatlo,,"tatlo n., adj. three"
tatlo (ng -),,tatlo comp. tripartite; made or shared by three parties
tatlong magkakasama,,tatlong comp. trio; group of three
tatlu-tatlo,,tatlu-tatlo adv. in groups of three
tatluhan,,tatluhan adv. in groups of three
tatluhang-buwan,,tatluhang-buwan adj. quarterly
tatluhin,,"tatluhin (tinatatlo, tinatlo, tatatluhin) v., inf. 1. triple; 2. divide into three parts"
tatluhing sipi,,"tatluhing sipi (tinatatlong, tinatlong, tatatluhing (sipi)) v., inf. triple; make tree times as much (gen. ref. to copying)"
tatlumpu,,tatlumpu n. thirty
tatlumpuin,,"tatlumpuin (tinatatlumpu, tinatlumpu, tatatlumpuin) v., inf. increase to thirty; make thirty times as much; divide into thirty parts"
tatoo,,n. tattooing
tatsa,,tatsa n. 1. faultfinding; 2. opposition; contradiction; objection
tatsiha,,n. triangle; trigon
tatsihaan,,n. trigonometry (mathematics)
tatsulok,,n. triangle
tatu,,tatu n. tattooing
tatuhan,,"tatuhan (tinatatuhan, tinatuhan, tatatuhan) v., inf. tattoo (mark the skin in patterns)"
tatuwa,,tatuwa n. denial; repudiation; disclaiming
tatuwaan,,"tatuwaan (tinatatuwaan, tinatuwaan, tatatuwaan) v., inf. repudiate; deny; disclaim"
tatwa,,tatwa n. denial; repudiation; disclaiming
tatyaw,,"n., zoo. breeding cock; cockerel"
tau-tauhan,,tau-tauhan n. 1. manikin; 2. figurehead (person who is head in name only)
tauban,,"tauban n. tray/rack where drinking glasses, etc. are placed upside down to dry"
tauhan,,"(tinatauhan, tinauhan, tatauhan) v., inf. 1. staff; 2. mind a place while others are away"
tauhan (mga -),,"n., pl. 1. train (group of followers); 2. people (persons in relation to a superior)"
tauhan ng drama,,n. actor in a play
tauhan ng dula,,dula n. actor in a play
tauhin,,"(tinatao, tinao, tatauhin) v., inf. consider/treat as a human being"
tauhin,,tauhin n. sex of a newborn child
taun-taon,,taun-taon adv. annually; yearly; every year
taunan,,"taunan adj., adv. yearly; once a year"
taunang-aklat,,taunang-aklat n. book published once a year
taunghukbo,,n. military
taunin,,"taunin (tinataon, tinaon, tataunin) v., inf. do or make at the same time with; coincide"
Taupo,,"Taupo! intrj. greeting of someone calling or knocking at the door, etc."
tawa,,n. laugh; laughter
tawa,,tawa adj. prone to laughing
tawad,,n. 1. forgiveness; 2. remission; absolution
tawad,,n. discount; bargaining
tawag,,n. 1. call; summons; 2. term; name; 3. request; reminder
tawag sa kasal,,"kasal comp., coll. banns; marriage announcement"
tawagan,,"(tinatawagan, tinawagan, tatawagan) v., inf. 1. call on; 2. hail; 3. summon; 4. term"
tawagan,,tawagan n. 1. calling each other by certain names; 2. the name used in calling each other
tawagan,,"tawagan n. act of calling each other by telephone, telegram, etc."
tawagin,,"(tinatawag, tinawag, tatawagin) v., inf. 1. call on; 2. hail; 3. summon; 4. term"
tawak,,tawak n. person immune to snake bites and cures snake bites with his/hers saliva
tawak,,tawak n. quack who cures ostensibly by his saliva
tawan-tawanan,,"tawan-tawanan (tinatawan-tawanan, tinawan-tawanan, tatawan-tawanan) v., inf. 1. laugh at; 2. joke; tease; 3. mock; ridicule"
tawanan,,"(tinatawanan, tinawanan, tatawanan) v., inf. laugh at without scoffing or derision"
tawanan,,tawanan n. sound of laughter; mirth
tawang-aso,,n. boisterous and derisive laugh
tawaran,,"(tinatawaran, tinawaran, tatawaran) v., inf. 1. bid; 2. haggle; ask for a discount"
tawaran,,tawaran n. the common price offered by majority of buyers
tawarin,,"(tinatawad, tinawad, tatawarin) v., inf. request a discount or the like from the seller"
tawas,,n. alum
tawasin,,"(tinatawas, tinawas, tatawasin) v., inf. burn alum together with small articles belonging to a sick person to determine the illness"
taway,,taway n. 1. range; 2. swing of the arm
tawge,,"n., bot. mung bean sprouts"
tawgi,,"n., bot. mung bean sprouts"
tawid,,"tawid n. crossing; act of crossing a street, river, etc."
tawig,,n. duration
tawilis,,"tawilis n., zoo. species of freshwater sardine"
tawing,,tawing n. anything hanging or swinging
tawiran,,tawiran n. 1. simultaneous crossing by many; 2. crossing
tawiran ng tao,,tawiran comp. pedestrian crossing (US: crosswalk)
tawirin,,"tawirin (tinatawid, tinawid, tatawirin) v., inf. 1. cross; 2. traverse; pass across"
Tawpo,,"Tawpo! intrj. greeting of someone calling or knocking at the door, etc."
tawsi,,"tawsi n. soya beans preserved in dehydrated salt sauce called ""toyo"""
tawtaw,,tawtaw n. 1. touching/joining the tip; 2. jerking fishing rod up and down; 3. guesswork
tawtolohiya,,n. tautology; repetition by using other words
tax,,n. tax
taxi,,n. taxi; cab
taxihin,,"taxihin (tinataxi, tinaxi, tataxihin) v., inf. 1. go by taxi; 2. take in a taxi"
taximeter,,taximeter n. taximeter
taya,,n. estimate; calculation
taya,,taya n. 1. bet; wager; 2. stake (betting); 3. capital in business venture
tayaan,,"tayaan (tinatayaan, tinayaan, tatayaan) v., inf. bet; bet on"
tayaan,,tayaan n. 1. place for betting; 2. simultaneous betting by a number of gamblers
tayabutab,,n. damp soil that is soft and spongy
tayahan,,n. calculus (mathematics)
tayahin,,"(tinataya, tinaya, tatayahin) v., inf. estimate; calculate; figure out"
tayakad,,tayakad n. portable shed made of nipa palm leaves
tayakad,,tayakad n. stilt
tayamutan,,n. 1. rubbish; refuse; 2. filings; shavings
tayangkad,,tayangkad adj. tall; long-legged
tayangtang,,tayangtang adj. overheated; overtoasted
Tayka!,,"intrj. Wait! (contr. of ""Hintay ka!"")"
tayo,,pron. 1. we (incl. person addressed); 2. us (incl. person addressed)
tayo,,tayo n. 1. site; situation; location; 2. condition; 3. social position
Tayo na,,comp. Let's go now
tayog,,n. altitude
tayom,,"n., 1. bot. 1. indigo plant; 2. indigo blue"
tayon,,n. swinging movements like that of a pendulum
tayong,,n. interruption of work or something else temporarily
taytay,,taytay n. bamboo plank
Tayu-tayo lamang,,comp. Just us; We only
tayuan,,"tayuan (tinatayuan, tinayuan, tatayuan) v., inf. erect, construct, etc. something in a certain place"
tayuan,,tayuan n. stand; raised place where people may stand or sit
tayubay,,adj. smoked (ref. to fish or meat)
tayudtod,,tayudtod n. backbone of an animal
tayugtog,,tayugtog n. backbone of an animal
tayukod,,n. forked pole or bar
tayuman,,n. indigo plantation
tayuman,,tayuman n. place where clothes are dyed
tayumin,,"(tinatayom, tinayom, tatayumin) v., inf. tinge with indigo"
tayungkod,,tayungkod n. walking stick made from branch of a tree
tayuntong,,tayuntong n. 1. crest of a wave; 2. ridge of a roof
tayutay,,tayutay n. figure of speech
tayuto,,tayuto adj. decayed (wood)
taywanak,,"taywanak n., bot. variety of bamboo without thorns"
team,,n. team
teatral,,teatral adj. theatrical
teatro,,n. theatre (US: theater)
teenager,,n. teenager
tehero,,n. tile maker
tehuwelo,,n. small tile
teka,,"n., bot. teak"
Teka!,,"intrj. Wait! (contr. of ""Hintay ka!"")"
tekas,,n. swindler; pilferer
tekasin,,"(tinetekas, tinekas, tetekasin) v., inf. swindle (someone)"
tekla,,"n., bot. teak (variety of)"
teklado,,"n. keyboard of a piano, typewriter, etc."
teknika,,teknika n. technique
tekniko,,tekniko 1. n.; 2. adj. 1. technician; 2. technical
Teknisyum,,n. Technetium (Tc) (chemistry)
teknolohia,,teknolohia n. technology
teknolohiya,,teknolohiya n. technology
teksto,,n. text
tela,,n. 1. cloth; fabric; 2. dry goods
tela-alambre,,"n. wire netting for fences, etc.; wire screen for windows, etc.; ironware"
tela-metalika,,"tela-metalika n. wire netting for fences, etc.; wire screen for windows, etc.; ironware"
telalambre,,"n. wire netting for fences, etc.; wire screen for windows, etc.; ironware"
telebisyon,,telebisyon n. television
telegram,,telegram n. telegram; telegraph
telegrama,,n. telegram; telegraph
telegramahan,,"(tinetelegramahan, tinelegramahan, tetelegramahan) v., inf. telegraph a certain person (locative stress)"
telegraph,,telegraph n. telegraph
telegraphy,,telegraphy n. telegraphy
telegrapia,,n. telegraphy
telegrapista,,n. telegraph operator
telegrapo,,telegrapo n. telegraph
telekumunikasyon,,telekumunikasyon n. telecommunication
telepathy,,telepathy n. telepathy
telepatia,,telepatia n. telepathy
telephone,,telephone n. telephone; phone
teleponista,,n. telephone operator
telepono,,telepono n. telephone; phone
teleponohan,,"teleponohan (tineteleponuhan, tineleponuhan, teteleponuhan) v., inf. phone; call by a phone"
Teleryum,,n. Tellurium (Te)
telescope,,telescope n. telescope
teleskopyo,,n. telescope
television,,n. television
telon,,telon n. curtain; tabs
tema,,n. 1. resentment [coll.]; 2. theme
temperatura,,n. temperature
temperature,,temperature n. temperature
templo,,n. temple
temporario,,adj. temporary
temporary,,adj. temporary
temporero,,adj. temporary
tendency,,tendency n. tendency; inclination
tendensiya,,tendensiya n. tendency; inclination
tenedor,,tenedor n. fork (for eating)
tenedor-de-libro,,tenedor-de-libro n. accountant; book-keeper
teneduria,,teneduria n. bookkeeping
tenedurin,,"tenedurin (tinetenedor, tinenedor, tetenedurin) v., inf. use a fork"
tenga,,n. ear
tennis,,n. tennis (sport)
tenor,,tenor n. 1. highest adult male voice; 2. tenor singer
tension,,"tension n. 1. tautness of a rope, etc.; 2. nervous anxiety; 3. strained relationship"
tensyon,,"tensyon n. 1. tautness of a rope, etc.; 2. nervous anxiety; 3. strained relationship"
tentakulo,,tentakulo n. tentacle
tentasyon,,tentasyon n. temptation
tenyente,,n. lieutenant
tenyente-heneral,,tenyente-heneral n. lieutenant general
tenyente-koronel,,tenyente-koronel n. lieutenant colonel
teologo,,teologo n. theologian
teolohia,,teolohia n. theology
teolohiya,,teolohiya n. theology
teoria,,teoria n. theory
teoriya,,teoriya n. theory
tepok,,adj. victimized by hooligans or goons [slang]
terapeuta,,n. therapeutist; therapist
terapeutika,,terapeutika n. therapeutics
terapeutiko,,terapeutiko adj. therapeutical; remedial; curative
terapyutika,,terapyutika n. therapeutics
terasa,,n. terrace
Terbiyum,,n. Terbium (Tb) (chemistry)
terenal,,terenal adj. worldly; mundane
terible,,terible adj. 1. terrible (causing fear); 2. terrible (e.g. terribly great)
teritoryo,,n. territory
terka,,adj. stubborn
terko,,adj. stubborn
terminal,,terminal n. 1. terminal; extreme end; 2. station (at the end of a route)
termino,,termino n. 1. term; meaning; 2. terms; condition(s) in a contract
terminolohia,,terminolohia n. terminology
terminolohiya,,terminolohiya n. terminology
termodaynamiko,,n. thermodynamics
termometro,,termometro n. thermometer
termos,,n. thermos
terno,,n. 1. three-piece suit (attire); 2. woman's evening gown; 3. set of things
terorismo,,n. terrorism
terorista,,n. terrorist
tersero,,"n., adj. third"
tesauro,,n. thesaurus; lexicon
tesis,,n. thesis
tesorera,,n. treasurer
tesoreria,,tesoreria n. treasury
tesoreriya,,tesoreriya n. treasury
tesorero,,n. treasurer
tesoro,,n. treasure
testador,,testador n. testator
testadora,,n. testator
testament,,testament n. 1. will (legal); 2. biblical testament
testamento,,n. 1. will (legal); 2. biblical testament
testigo,,n. witness
testiguhan,,"(tinetestiguhan, tinestiguhan, tetestiguhan) v., inf. witness; sign a document as witness; testify to"
testimonyo,,n. testimony
testo,,n. 1. text; 2. textbook
tetano,,"tetano n., med. tetanus; lockjaw"
tetanus,,"tetanus n., med. tetanus; lockjaw"
tetilya,,n. nipple for a baby's milk bottle
thermos,,n. thermos
thesis,,n. thesis
tia,,tia n. aunt
tiab,,tiab n. notch cut into posts or trunks of trees to facilitate climbing
Tiago,,n. James Banogon
tianak,,n. elf or goblin in Philippine folklore
tiangge,,n. 1. market; 2. market day
tibadbad,,tibadbad n. false alarm; false news
tibag,,tibag adj. 1. excavated; quarried; 2. demolished; 3. crumbled; collapsed
tibag,,tibag n. 1. cleft (quarried); 2. landslide; erosion from river bank
Tibag,,Tibag n. name of a stage presentation [rel.]
tibag,,tibag n. placer (geology)
tibagan ng bato,,"tibagan ng bato comp. quarry (place where stone is obtained, graded, etc.)"
tibagin,,"tibagin (tinitibag, tinibag, titibagin) v., inf. break up (e.g. stone); quarry"
tibain,,"tibain (tinitiba, tiniba, titibain) v., inf. 1. cut down a banana plant or bunch of fruit; 2. gain much in business deal"
tibak,,"tibak n., med. foot disease (causing peeling off of the skin on the soles)"
tibalbal,,tibalbal adj. plump; chubby; flabby
tibalsik,,tibalsik n. sputtering of hot embers
tibalyaw,,tibalyaw n. exact/verified news
tibatib,,n. 1. black pockmarks; 2. kind of smallpox (extinct); 3. dirt on the skin
tibaw,,"n., rel. gathering and feasting of 9th/40th day after the death"
tibay,,n. 1. material strength; 2. vitality; 3. wear; 4. resoluteness
tibayan,,"(tinitibayan, tinibayan, titibayan) v., inf. 1. secure; 2. make steady; keep steady"
tibi,,tibi n. constipation
tibihin,,"tibihin (tinitibi, tinibi, titibihin) v., inf. be constipated; have constipation"
tibo,,tibo n. 1. small painful wound inflicted by fish; 2. thorn/excrescence of fish/insect
tibobos,,adj. true; real; pure; genuin
tibok,,tibok n. pulse; heartbeat
tibok ng dibdib,,tibok ng dibdib n. 1. palpitation; 2. flutter by one in love [fig.]
tibok ng puso,,tibok ng puso comp. 1. heartbeat; 2. interior disposition/feelings [fig.]
tibong,,"n. steepness of a roof, cliff, etc."
tibtib,,"tibtib n., bot. sugarcane cuttings used for planting"
tibubos,,n. true; real; pure; genuin
tiburin,,tiburin n. tilbury; sulky (light carriage with two wheels)
ticket,,n. 1. ticket; 1. lists of candidates in politics; 3. free ticket
tickitan,,"(tinitickitan, tinickitan, titickitan) v., inf. issue someone with a ticket to require payment as a penalty"
ticktock,,n. tick; ticking (sound)
tig-apat,,adj. four for each one
Tig-iilan,,Tig-iilan? coll. how many for each?
tig-iisa,,tig-iisa adj. one each
tig-isa,,tig-isa n. one each
tigab,,tigab n. weak gasping for breath of dying person
tigagal,,n. 1. uneasiness; 2. astonishment; 3. idleness; 4. impediment; 5. delay
tigal,,n. inertia
tigaling tabluwas,,comp. static discharge
tigam,,tigam adj. 1. dehydrated; 2. very thin
tigambay,,adj. rigid
tigang,,tigang adj. 1. very dry (soil); 2. barren
tigapat,,adj. four for each one
tigas,,tigas n. 1. hardness; firmness; 2. stiffness; 3. tautness; 4. inflexibility; 5. resolution
tigas ng katawan,,tigas ng katawan comp. laziness
tigasan,,"tigasan (tinitigasan, tinigasan, titigasan) v., inf. make hard or stiff"
tigatig,,n. 1. disquiet; 2. molestation; 3. perturbation
tigatigin,,"(tinitigatig, tinigatig, titigatigin) v., inf. molest; annoy; worry"
tigatlo,,tigatlo adj. three for each
tigbalang,,n. fabulous creature in Philippine folklore
tigbi,,"tigbi n., bot. shrub (seeds/berries used as beads)"
tigbuhol,,tigbuhol n. word puzzle
tigdas,,"tigdas n., med. measles"
tigdasin,,"tigdasin (tinitigdas, tinigdas, titigdasin) v., inf. catch measles"
tiggagaano,,tiggagaano interrog. how much for each one?
tighaba,,tighaba adj. oval
tighabol,,tighabol adj. belated; late
tighaw,,tighaw adj. 1. less severe; 2. relieved; alleviated
tighim,,tighim n. gentle cough (to clear the throat or call the attention)
tighoy,,tighoy 1. n.; 2. adj. 1. lessening in strength (wind; rain); 2. less intense
tigi-tigisa,,tigi-tigisa adj. one each
tigib,,tigib adj. overburdened; overfilled; fraught; loaded
tigil,,n. 1. break; 2. pause; 3. suspending; 4. cessation; 5. stay
tigil,,tigil adj. 1. sluggish; inactive; 2. sleepy; quiet; not active
